pet_name,pet_type,sex,age,location,link,breed,color,size,weight,pet_id,hair,rescue,address,Spayed,Neutered,Spayed / Neutered,Shots Up to Date,Purebred,Has Special Needs,Declawed,Not Good with Kids,Good with Kids,House-trained,Good with Cats,Not Good with Cats,Good with Dogs,Not Good with Dogs,Needs Experienced Adopter
Cali,cat,Female,adult,"Chicago Heights, IL",https://www.adoptapet.com/pet/25501135-chicago-heights-illinois-cat,Domestic Shorthair,White,,,SSHS-A-12128,,South Suburban Humane Society,"Chicago Heights, IL",,,,,,,,,,,,,,,
Struckbutt,cat,Female,adult,"Chicago Heights, IL",https://www.adoptapet.com/pet/25501133-chicago-heights-illinois-cat,Domestic Longhair,All Black,,,SSHS-A-12124,,South Suburban Humane Society,"Chicago Heights, IL",,,,,,,,,,,,,,,
Fluffbutt,cat,Female,adult,"Chicago Heights, IL",https://www.adoptapet.com/pet/25501134-chicago-heights-illinois-cat,Domestic Shorthair,All Black,,,SSHS-A-12125,,South Suburban Humane Society,"Chicago Heights, IL",,,,,,,,,,,,,,,
Potsticker,cat,Male,kitten,"Chicago Heights, IL",https://www.adoptapet.com/pet/25491325-chicago-heights-illinois-kitten,Domestic Shorthair,All Black,,,SSHS-A-11940,,South Suburban Humane Society,"Chicago Heights, IL",,,,,,,,,,,,,,,
Capone,cat,Male,kitten,"Chicago Heights, IL",https://www.adoptapet.com/pet/25491323-chicago-heights-illinois-kitten,Domestic Shorthair,Orange or Red,,,SSHS-A-11852,,South Suburban Humane Society,"Chicago Heights, IL",,,,,,,,,,,,,,,
Indigo,cat,Female,kitten,"Chicago Heights, IL",https://www.adoptapet.com/pet/25491324-chicago-heights-illinois-kitten,Domestic Shorthair,All Black,,,SSHS-A-11931,,South Suburban Humane Society,"Chicago Heights, IL",,,,,,,,,,,,,,,
Prince Phillip,cat,Male,adult,"Chicago Heights, IL",https://www.adoptapet.com/pet/25491326-chicago-heights-illinois-cat,Domestic Shorthair,All Black,,,SSHS-A-12067,,South Suburban Humane Society,"Chicago Heights, IL",,,,,,,,,,,,,,,
Candy,cat,Female,adult,"Chicago Heights, IL",https://www.adoptapet.com/pet/25480390-chicago-heights-illinois-cat,Domestic Shorthair,Brown or Chocolate,,,SSHS-A-11881,,South Suburban Humane Society,"Chicago Heights, IL",,,,,,,,,,,,,,,
Sugar,cat,Female,young,"Chicago Heights, IL",https://www.adoptapet.com/pet/25467325-chicago-heights-illinois-cat,Domestic Shorthair,White,,,SSHS-A-12035,,South Suburban Humane Society,"Chicago Heights, IL",,,,,,,,,,,,,,,
Mary,cat,Female,young,"Chicago Heights, IL",https://www.adoptapet.com/pet/25467327-chicago-heights-illinois-cat,Domestic Shorthair,Brown or Chocolate,,,SSHS-A-12037,,South Suburban Humane Society,"Chicago Heights, IL",,,,,,,,,,,,,,,
Wow,cat,Male,adult,"Chicago Heights, IL",https://www.adoptapet.com/pet/25467323-chicago-heights-illinois-cat,Domestic Shorthair,Brown or Chocolate,,,SSHS-A-11979,,South Suburban Humane Society,"Chicago Heights, IL",,,,,,,,,,,,,,,
Thunder,cat,Male,young,"Chicago Heights, IL",https://www.adoptapet.com/pet/25467328-chicago-heights-illinois-cat,Domestic Shorthair,Orange or Red,,,SSHS-A-12038,,South Suburban Humane Society,"Chicago Heights, IL",,,,,,,,,,,,,,,
Nova,cat,Male,young,"Chicago Heights, IL",https://www.adoptapet.com/pet/25467333-chicago-heights-illinois-cat,Domestic Shorthair,Gray or Blue,,,SSHS-A-12062,,South Suburban Humane Society,"Chicago Heights, IL",,,,,,,,,,,,,,,
Shady,cat,Male,young,"Chicago Heights, IL",https://www.adoptapet.com/pet/25467332-chicago-heights-illinois-cat,Domestic Shorthair,Gray or Blue,,,SSHS-A-12061,,South Suburban Humane Society,"Chicago Heights, IL",,,,,,,,,,,,,,,
Malorie,cat,Female,adult,"Chicago Heights, IL",https://www.adoptapet.com/pet/25467324-chicago-heights-illinois-cat,Domestic Mediumhair,Tan or Fawn Tabby,,,SSHS-A-11981,,South Suburban Humane Society,"Chicago Heights, IL",,,,,,,,,,,,,,,
Starlord,cat,Male,adult,"Chicago Heights, IL",https://www.adoptapet.com/pet/25467331-chicago-heights-illinois-cat,Domestic Shorthair,White,,,SSHS-A-12057,,South Suburban Humane Society,"Chicago Heights, IL",,,,,,,,,,,,,,,
Nyla Rose,cat,Female,adult,"Chicago Heights, IL",https://www.adoptapet.com/pet/25458173-chicago-heights-illinois-cat,Domestic Shorthair,Brown or Chocolate,,,SSHS-A-12088,,South Suburban Humane Society,"Chicago Heights, IL",,,,,,,,,,,,,,,
Squirt,cat,Male,kitten,"Chicago Heights, IL",https://www.adoptapet.com/pet/25410744-chicago-heights-illinois-kitten,Domestic Shorthair,White,,,SSHS-A-11908,,South Suburban Humane Society,"Chicago Heights, IL",,,,,,,,,,,,,,,
Stir fry,cat,Female,adult,"Chicago Heights, IL",https://www.adoptapet.com/pet/25442349-chicago-heights-illinois-cat,Domestic Shorthair,Tortoiseshell,,,SSHS-A-11823,,South Suburban Humane Society,"Chicago Heights, IL",,,,,,,,,,,,,,,
Two-Face,cat,Male,young,"Chicago Heights, IL",https://www.adoptapet.com/pet/25284570-chicago-heights-illinois-cat,Domestic Shorthair,Gray or Blue,,,SSHS-A-11820,,South Suburban Humane Society,"Chicago Heights, IL",,,,,,,,,,,,,,,
Rutherford,cat,Male,young,"Chicago Heights, IL",https://www.adoptapet.com/pet/25442348-chicago-heights-illinois-cat,Domestic Shorthair,All Black,,,SSHS-A-11807,,South Suburban Humane Society,"Chicago Heights, IL",,,,,,,,,,,,,,,
